Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Дом Фалеева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гагаринский пер.+++ д. 11,55.7446139,37.5969361
Дом Фирганга,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Дмитровка ул.+++ д. 29,55.7716167,37.6041444
Дом Фроловых и палаты Муханова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малый Златоустинский пер.+++ д. 10,55.7594278,37.6355611
Дом Хитрово,Дома и дворцы,None,None,None,None,None,None,None,None,None,Подколокольный пер.+++ д. 16+++ стр.5,55.7523278,37.6450389
Дом Хлопова-Волкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Леонтьевский пер.+++ д. 6,55.7588778,37.6026694
Дом Целибеева - Арсентьева,Дома и дворцы,None,None,None,None,None,None,None,None,None,Раушская наб. д.28,55.7469833,37.6364528
Дом Центросоюза,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкая ул.+++ д. 39,55.767525,37.6406972
Дом Четвериковых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Якиманка ул.+++ д. 19+++ стр. 1,55.7380333,37.6173639
Дом Чижова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Молчановка ул.+++ д. 15,55.753,37.5930806
Дом Чижовой в Еропкинском переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Еропкинский переулок д.3С1,55.7395028,37.5934944
Дом Шаляпина,Дома и дворцы,None,None,None,None,None,None,None,None,None,3-й Зачатьевский переулок+++ д. 3,55.7397028,37.5980472
Дом Шереметевых на Поварской,Дома и дворцы,None,None,None,None,None,None,None,None,None,Поварская ул.+++ д. 27,55.756325,37.5889333
Дом Щепочкиной,Дома и дворцы,None,None,None,None,None,None,None,None,None,Спасопесковский пер.+++ д. 6+++ стр. 1,55.7495528,37.5889556
Дом Щукина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большой Знаменский пер.+++ д. 8,55.7488444,37.603975
Дом экспедиции Калинкинского мёдо-пивоваренного товарищества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Русаковская ул.+++ д. 19+++ стр. 3,55.7851833,37.6748917
Дом Электромеханического института,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровка ул.+++ д. 27/16,55.7676806,37.6134861
Дом Эпштейна,Дома и дворцы,None,None,None,None,None,None,None,None,None,Гусятников пер.+++ д. 11,55.7640583,37.6423528
Дом Юшкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мясницкая ул. д.21,55.7643389,37.6361889
Дом № 51 по Николоямской улице,Дома и дворцы,None,None,None,None,None,None,None,None,None,Николоямская ул.+++ д. 51+++ стр. 2,55.7469722,37.6651556
Дом №1 в Мерзляковском переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Мерзляковский пер.. д. 1+++ Хлебный пер. д.1,55.7542722,37.5986611
Дом-мастерская художника И. И. Левитана,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трехсвятительский пер.+++ 1+++ стр.2,55.755825,37.6459111
Дом-сороконожка,Современные здания,None,None,None,None,None,None,None,None,None,Беговая ул.+++ д.34,55.7839083,37.564725
Дом-яйцо,Дома и дворцы,None,None,None,None,None,None,None,None,None,Машкова ул.+++ д. 1/11,55.7627556,37.6488972
"Дома Абрикосовой и страхового общества ""Якорь""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Потаповский пер.+++ д. 5,55.7613667,37.641075
"Дома жилого кооператива артистов ""Труженик искусства""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Воротниковский пер.+++ д. 7+++ стр. 1+++ 2+++ 3+++ 4,55.7698611,37.6007417
Дома Лунца и Ладо,Дома и дворцы,None,None,None,None,None,None,None,None,None,Кривоколенный пер.+++ д. 9. стр. 1. 2,55.7627139,37.6372556
Дома-книжки на Новом Арбате,Дома и дворцы,None,None,None,None,None,None,None,None,None,Новый Арбат ул.+++ д.11+++ 15+++ 19+++ 21,55.752,37.5928
Домовая церковь Марфы и Марии в Марфо-Мариинской обители,Здания постройки до 1917 года,None,None,None,None,None,None,None,None,None,Ордынка Большая ул.+++ 34+++ стр. 3,55.7380972,37.6242306
Домовая церковь преподобномученицы Великой княгини Елизаветы Фёдоровны,Здания постройки XX - XXI вв.,None,None,None,None,None,None,None,None,None,Хуторская 2-я ул.+++ 40,55.803725,37.56355
Домовая церковь святителя Николая чудотворца при НИИ нейрохирургии имени академика Н.Н. Бурденко,Здания постройки до 1917 года,None,None,None,None,None,None,None,None,None,1-й Тверской-Ямской пер.+++ 13/5,55.7738472,37.5983944
Домовая церковь Серафима Саровского при православном Свято-Димитриевском детском доме,Здания,None,None,None,None,None,None,None,None,None,Самеда Варгуна+++ 3,55.8070444,37.5252
Домодедово+++ международный аэропорт,Аэропорт,None,None,None,None,None,None,None,None,None,Московская обл.+++ Домодедовский р-н+++ аэропорт Домодедово,55.4137194,37.8983278
Домодедовская,Станция метро,None,None,None,None,None,None,None,None,None,Каширское шоссе,55.6103056,37.7190861
Достоевская,Станция метро,None,None,None,None,None,None,None,None,None,Суворовская площадь,55.7816833,37.6141
Доходное владение Веселовской,Дома и дворцы,None,None,None,None,None,None,None,None,None,Чаплыгина ул.+++ д. 8,55.7637556,37.6462722
Доходное владение Депре,Дома и дворцы,None,None,None,None,None,None,None,None,None,Фурманный переулок 1/5,55.7634528,37.6472667
"Доходные дома ""Товарищества Петровских торговых линий в Москве""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровка ул.+++ д. 20/Неглинная ул.+++ д. 21/Петровские линии+++ д. 1,55.7642056,37.6177361
Доходные дома А. А. Волоцкой,Дома и дворцы,None,None,None,None,None,None,None,None,None,Трехпрудный пер. д. 11/13+++ стр. 1+++ 2,55.7656528,37.5953694
Доходные дома Московского купеческого общества,Дома и дворцы,None,None,None,None,None,None,None,None,None,Солянка ул.+++ д.2/1+++ стр. 1,55.7541556,37.6379583
Доходные дома начала XX века на Большой Молчановке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Большая Молчановка ул.+++ д. 21а и 21б,55.7531111,37.5904111
"Доходный дом ""Родина""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Милютинский пер.+++ д. 17,55.7654083,37.6321722
"Доходный дом ""Товарищества Даниловской мануфактуры""",Дома и дворцы,None,None,None,None,None,None,None,None,None,Старопанский пер.+++ д.1/5+++ стр.1,55.7557083,37.6249333
Доходный дом А. А. Бахрушина,Дома и дворцы,None,None,None,None,None,None,None,None,None,Петровский пер.+++ д. 5+++ стр. 9,55.7661861,37.6140278
Доходный дом А. А. Карзинкина в Столешниковом переулке,Дома и дворцы,None,None,None,None,None,None,None,None,None,Столешников пер.+++ д. 14,55.7628722,37.6150222
Доходный дом А. А. Шешкова,Дома и дворцы,None,None,None,None,None,None,None,None,None,Малая Дмитровка ул.+++ д. 11,55.7689083,37.6055722
Доходный дом А. В. Красногоровой - Блиновых,Дома и дворцы,None,None,None,None,None,None,None,None,None,Старосадский пер.+++ д. 10+++ стр. 1,55.7554056,37.6388583
